======================================================================
     قائمة الأصناف الكاملة مع أكواد الشركة
     تاريخ الإنتاج: ١٧‏/٧‏/٢٠٢٦
======================================================================

======================================================================
  BR - مواسير وتوصيلات PPR
  مكوّد: 208 | غير مكوّد: 24 | الإجمالي: 232
======================================================================

  ✅ الأصناف المكوّدة:
  ------------------------------------------------------------------
  ID      كود الشركة      اسم الصنف
  40020   352010006       كوع ٤٥ درجة (مدفون) ١٦٠
  40021   352010006       كوع ٨٧.٥ درجة (مدفون) ١٦٠
  40022   352040006       مشترك ٨٧.٥ درجة (مدفون) 160
  40023   352040012       مشترك ٤٥ درجة (مدفون) 160
  40024   352040014       مشترك ٤٥ درجة (مدفون) 160 * 110
  40025   352080007       جلبة (مدفون) 160
  40026   352092009       مسلوب (مدفون) 200 * 160
  40027   332020010       متر ماسورة برتقالى (مدفون) 200 * 6.7
  40028   352010009       كوع ٤٥ درجة (مدفون) ٢٠٠
  40029   352010009       كوع ٨٧.٥ درجة (مدفون) ٢٠٠
  40030   352040009       مشترك ٨٧.٥ درجة (مدفون) 200
  40031   352050015       مشترك ٨٧.٥ درجة (مدفون) 200 * 160
  40032   352040018       مشترك ٤٥ درجة (مدفون) 200
  40033   352040017       مشترك ٤٥ درجة (مدفون) 200 * 160
  40034   352080009       جلبة (مدفون) 200
  40035   352092011       مسلوب (مدفون) 200 * 110
  40036   333020011       م ٦٣ بدون كيسل
  40037   352020010       كوع عاده ٦٣ بجون كيسل
  40038   352020010       كوع مفتوح ٦٣ بجون كيسل
  40039   352080010       جلبة ٦٣ بجون كيسل
  40040   352093002       واي ٦٣ بجون كيسل
  40041   352060001       تى ٦٣ بجون كيسل
  40042   352050002       بيبه ٧٥ * ٦٣ بجون كيسل
  40043   352092013       مسلوب ٧٥ * ٦٣ م بجون كيسل
  40044   352092012       مسلوب ٦٣ * ٥٠ م بجون كيسل
  40045   352080018       جلبة ٦٣ م اصلاح
  40046   377020020       انبوبه شحم ١٥٠ جرام
  40047   377020021       انبوبه شحم ٢٥٠ جرام
  40048   377020022       انبوبه شحم ٥٠٠ جرام
  40049   352091007       طبه كاب كيسل 63
  40050   352020004       كوع ٩٠ مم
